Tag,Answers
ggplot2,28667
sf,269
datatable,293
shiny,11115
radio-button,34
dt,539
linear-regression,1364
interaction,187
statistics,4429
arrays,1266
keras,150
data-mining,415
cross-validation,314
naivebayes,94
pca,502
performanceanalytics,121
web-scraping,1484
rcurl,635
apply,3677
purrr,1199
k-means,435
expectation-maximization,9
coefficients,105
linearmodels,8
matrix,8422
vector,4377
combinations,783
frequency,653
transpose,303
summary,536
frequency-distribution,90
for-loop,5955
function,5629
dplyr,17419
summarytools,4
datatables,180
plotly,1585
sjplot,45
nse,218
tidyeval,187
list,6333
readxl,130
libcurl,22
url,175
parameters,186
colors,1138
transparency,49
heatmap,1056
dataframe,28035
slick.js,1
ggrepel,61
ggmap,688
word-embedding,7
text2vec,74
glove,1
json,1172
jsonlite,258
statistics-bootstrap,176
loops,6294
conditional,865
igraph,1812
sna,163
isomorphism,5
random-forest,848
foreach,607
doparallel,179
rcpp,1973
rcppparallel,8
selenium,175
highcharts,264
flexdashboard,183
react-highcharts,1
autocomplete,30
r-leaflet,122
googleway,49
delete-row,107
cluster-analysis,1110
rscript,395
spatial-data-frame,24
package,1484
extension-methods,2
scatter-plot,732
sequence,668
readr,216
c++,1124
plumber,58
character,889
sample,466
subset,4841
lapply,2885
match,1087
anova,543
robustness,5
tidyverse,2353
tidyr,2223
testing,153
t-test,81
oauth,95
tumblr,2
plot,13039
rstudio,4235
copy-paste,21
mathematical-optimization,261
environment-variables,179
java,1196
apache-spark,659
r-caret,1192
algorithm,799
opencpu,161
nls,313
python,4131
h2o,526
user-defined-functions,159
bayesian,284
pymc3,2
jags,187
join,668
pandas,613
rpy2,718
shinydashboard,845
grouping,938
mean,1243
officer,54
forcats,39
geom-col,12
r-dbi,143
dbplyr,100
data-science,347
group-by,785
na,2347
r-markdown,3337
knitr,3602
kable,141
kableextra,121
probability,440
error-handling,543
text-mining,1209
lda,134
topic-modeling,127
tidytext,151
mixed-models,384
confidence-interval,345
asp.net,41
asp.net-mvc,9
rdotnet,66
r.net,37
contour,185
math,466
automation,138
regression-testing,10
variable-selection,6
javascript,890
phantomjs,36
equation,92
linear-equation,15
biomart,37
timeline,38
vis.js,18
htmlwidgets,221
syntax-error,62
gsub,1782
recode,280
duplicates,1067
merge,3234
r-mice,134
outliers,367
mlr,106
gfortran,42
install.packages,278
sorting,1573
data.table,11605
bar-chart,1716
percentage,233
equation-solving,47
regex,8368
spatial,778
kernel-density,185
adjacency-matrix,139
adjacency-list,25
bioconductor,487
r-graphviz,2
plotrix,103
googlevis,206
macos,721
xlsx,319
excel-2011,1
crosstab,155
sum,1081
reorganize,25
polynomials,71
posixct,839
rstudio-server,258
workspace,75
scoping,114
string,5122
parsing,584
memory,458
raster,1361
ram,32
shiny-reactivity,106
nonlinear-optimization,91
mle,88
garbage-collection,53
graph,1685
networkx,19
sentiment-analysis,168
mysql,790
database,649
data-modeling,36
odbc,197
hadoop,277
fread,163
regression,2596
rxkmeans,1
fill,191
plyr,3281
scatter3d,42
split,1986
rows,721
charts,367
rattle,53
optimization,1178
functional-programming,397
datetime,1816
intervals,349
lubridate,1288
logistic-regression,555
glm,858
lm,1382
p-value,216
excel,1931
decision-tree,320
ggnetwork,9
ggtern,42
multiple-columns,806
reshape,2541
popup,24
broom,157
text,1070
nlp,410
logging,131
sink,65
