Tag,Counts
ggplot2,24915
sf,244
datatable,298
shiny,12215
radio-button,32
dt,610
linear-regression,1221
interaction,198
statistics,3459
arrays,956
keras,224
data-mining,327
cross-validation,366
naivebayes,128
pca,541
performanceanalytics,132
web-scraping,1498
rcurl,587
apply,2290
purrr,858
k-means,391
expectation-maximization,9
coefficients,107
linearmodels,17
matrix,5803
vector,2604
combinations,490
frequency,411
transpose,202
summary,364
frequency-distribution,62
for-loop,4213
function,4313
dplyr,11260
summarytools,4
datatables,192
plotly,1762
sjplot,58
nse,146
tidyeval,120
list,4096
readxl,115
libcurl,32
url,148
parameters,159
colors,981
transparency,42
heatmap,953
dataframe,16740
slick.js,3
ggrepel,64
ggmap,721
word-embedding,15
text2vec,70
glove,4
json,1094
jsonlite,248
statistics-bootstrap,184
loops,4504
conditional,537
igraph,1842
sna,156
isomorphism,5
random-forest,841
foreach,552
doparallel,217
rcpp,1619
rcppparallel,12
selenium,192
highcharts,290
flexdashboard,225
react-highcharts,1
autocomplete,35
r-leaflet,147
googleway,59
delete-row,64
cluster-analysis,963
rscript,349
spatial-data-frame,30
package,1379
extension-methods,2
scatter-plot,615
sequence,382
readr,201
c++,955
plumber,68
character,569
sample,290
subset,3138
lapply,2068
match,710
anova,571
robustness,7
tidyverse,1598
tidyr,1408
testing,131
t-test,88
oauth,89
tumblr,2
plot,10616
rstudio,4125
copy-paste,18
mathematical-optimization,249
environment-variables,147
java,967
apache-spark,649
r-caret,1239
algorithm,583
opencpu,182
nls,336
python,3036
h2o,480
user-defined-functions,125
bayesian,344
pymc3,3
jags,196
join,461
pandas,409
rpy2,589
shinydashboard,936
grouping,583
mean,761
officer,75
forcats,34
geom-col,11
r-dbi,151
dbplyr,98
data-science,327
group-by,518
na,1407
r-markdown,3423
knitr,3312
kable,159
kableextra,120
probability,341
error-handling,484
text-mining,969
lda,160
topic-modeling,133
tidytext,119
mixed-models,508
confidence-interval,373
asp.net,45
asp.net-mvc,10
rdotnet,72
r.net,50
contour,207
math,344
automation,114
regression-testing,11
variable-selection,7
javascript,960
phantomjs,53
equation,71
linear-equation,14
biomart,32
timeline,32
vis.js,19
htmlwidgets,218
syntax-error,65
gsub,1006
recode,176
duplicates,625
merge,2101
r-mice,169
outliers,282
mlr,122
gfortran,42
install.packages,269
sorting,971
data.table,7991
bar-chart,1444
percentage,163
equation-solving,40
regex,4401
spatial,735
kernel-density,190
adjacency-matrix,122
adjacency-list,21
bioconductor,492
r-graphviz,6
plotrix,114
googlevis,255
macos,681
xlsx,257
excel-2011,1
crosstab,102
sum,639
reorganize,10
polynomials,76
posixct,618
rstudio-server,261
workspace,50
scoping,78
string,2732
parsing,434
memory,433
raster,1271
