Tag,Views
ggplot2,50466020
sf,56688
datatable,118682
shiny,9692602
radio-button,18216
dt,380261
linear-regression,2056614
interaction,205424
statistics,7518223
arrays,1009585
keras,54904
data-mining,548104
cross-validation,462625
naivebayes,100244
pca,745508
performanceanalytics,66975
web-scraping,937476
rcurl,718891
apply,2362651
purrr,253948
k-means,822815
expectation-maximization,6465
coefficients,61355
linearmodels,1058
matrix,9425467
vector,7513679
combinations,386842
frequency,725628
transpose,286378
summary,373582
frequency-distribution,175878
for-loop,3476776
function,4179969
dplyr,10630063
summarytools,327
datatables,212177
plotly,1061434
sjplot,17578
nse,49966
tidyeval,26660
list,7051274
readxl,82978
libcurl,25690
url,198620
parameters,283916
colors,2558825
transparency,113727
heatmap,1857942
dataframe,45948493
slick.js,314
ggrepel,178299
ggmap,926746
word-embedding,3418
text2vec,21317
glove,165
json,1005223
jsonlite,138663
statistics-bootstrap,181772
loops,3455415
conditional,839200
igraph,1497326
sna,382056
isomorphism,873
random-forest,1477363
foreach,481106
doparallel,88895
rcpp,1325064
rcppparallel,1360
selenium,105579
highcharts,145765
flexdashboard,99245
react-highcharts,52
autocomplete,26688
r-leaflet,58215
googleway,13699
delete-row,87629
cluster-analysis,1549335
rscript,536342
spatial-data-frame,15388
package,3215104
extension-methods,489
scatter-plot,1244067
sequence,365935
readr,76780
c++,652860
plumber,29229
character,1122004
sample,909289
subset,5420692
lapply,1855989
match,1101343
anova,681094
robustness,8369
tidyverse,498253
tidyr,873869
testing,177286
t-test,30467
oauth,129498
tumblr,181
plot,27922045
rstudio,6755742
copy-paste,14161
mathematical-optimization,235069
environment-variables,209928
java,1465857
apache-spark,355322
r-caret,1728193
algorithm,406926
opencpu,67843
nls,327789
python,3723142
h2o,246139
user-defined-functions,115560
bayesian,164435
pymc3,160
jags,104784
join,1319393
pandas,782851
rpy2,844038
shinydashboard,638444
grouping,464978
mean,1317669
officer,10443
forcats,5242
geom-col,947
r-dbi,70737
dbplyr,16986
data-science,78941
group-by,555776
na,5273555
r-markdown,4134630
knitr,4381313
kable,43933
kableextra,39058
probability,353493
error-handling,973940
text-mining,1177164
lda,198668
topic-modeling,177545
tidytext,60059
mixed-models,474026
confidence-interval,585042
asp.net,28752
asp.net-mvc,5870
rdotnet,63769
r.net,19649
contour,282135
math,382612
automation,121822
regression-testing,8665
variable-selection,490
javascript,475142
phantomjs,22433
equation,67127
linear-equation,8117
biomart,66621
timeline,71503
vis.js,7328
htmlwidgets,90077
syntax-error,107110
gsub,1203897
recode,478312
duplicates,858597
merge,4388029
r-mice,85184
outliers,715512
mlr,35989
gfortran,48283
install.packages,586178
sorting,2879585
data.table,8880950
bar-chart,2825799
percentage,169670
equation-solving,55793
regex,4711966
spatial,758360
kernel-density,212620
adjacency-matrix,111019
adjacency-list,35147
bioconductor,401097
r-graphviz,686
plotrix,136501
googlevis,130096
macos,1058274
xlsx,873220
excel-2011,15
crosstab,94244
sum,895229
reorganize,2789
polynomials,50362
posixct,825843
rstudio-server,262420
workspace,266764
scoping,104511
string,6590104
parsing,574897
memory,478298
raster,1018157
ram,37317
shiny-reactivity,88198
nonlinear-optimization,72299
mle,74397
garbage-collection,117340
graph,2517738
networkx,9573
sentiment-analysis,218413
mysql,631427
database,404959
data-modeling,18343
odbc,197207
hadoop,247806
fread,192647
regression,3708244
rxkmeans,79
fill,206340
plyr,3228294
scatter3d,24929
split,1717057
rows,2087756
charts,396415
rattle,151158
optimization,798192
functional-programming,198497
datetime,1740062
intervals,352238
lubridate,929593
logistic-regression,557621
glm,1237573
lm,2214370
p-value,381010
excel,2356556
decision-tree,531921
ggnetwork,1382
ggtern,11781
multiple-columns,692649
reshape,1928838
popup,21110
broom,52746
text,1087436
nlp,291837
logging,183135
sink,62605
mutate,194332
latent-semantic-indexing,1257
mclust,10811
rselenium,186772
survey,108090
imputation,151930
filter,2307471
usmap,336
type-conversion,1441316
time-series,4270545
dna-sequence,28250
phylogeny,82345
genetics,71526
na.rm,65922
docker,49170
division,23310
compare,494604
choropleth,116093
date,4280680
limma,13918
order,3070298
sparkr,287293
sparklyr,144670
whitespace,403507
stringr,515641
gis,681035
intersection,100018
axis-labels,857481
margins,292794
csv,6031237
object,486256
time,1363450
cosine-similarity,28615
linguistics,6336
quanteda,65343
reactive-programming,129243
dataset,1241494
row,1681501
networking,70149
linux,1178098
unix,159467
centos,183200
operating-system,19490
arules,349367
market-basket-analysis,60263
scale,544600
lme4,783130
rendering,8473
blogdown,29108
tm,1653726
strsplit,632457
rtools,5046
if-statement,2763691
sql,932926
oracle,187569
parallel-processing,1350183
rename,787325
distribution,613175
probability-distribution,3346
syntax,600931
r-plotly,105156
ratio,36733
separator,53860
user-interface,172160
gtk,69965
feature-selection,124978
filtering,174628
network-programming,15301
numbers,400212
ubuntu,975828
sqldf,502530
reproducible-research,41325
count,2374603
tibble,58180
tidyquant,3075
spread,85262
max,970621
weighted-graph,1189
special-characters,138744
poppler,42
stat,155755
chi-squared,168545
goodness-of-fit,45173
log-likelihood,4267
shiny-server,773664
ssl,102118
curl,297631
proxy,112405
machine-learning,2143286
prediction,692952
double,53331
mask,8110
median,226893
aggregate,3057910
latex,1524976
boxplot,2963897
leaflet,744903
try-catch,526273
snow,88558
correlation,1888085
rodbc,911600
cran,862306
feature-engineering,366
memory-leaks,168393
confusion-matrix,356282
matching,192034
fuzzy,6132
categorical-data,885735
factors,523861
d3.js,113393
arima,31876
performance,1819572
panel-data,143814
ubuntu-18.04,8137
suppress-warnings,15347
taxonomy,9026
bioinformatics,469818
httr,370093
openstreetmap,81694
matlab,864786
stata,670222
dendrogram,342660
hclust,237375
grepl,232473
shinyjs,120966
vegan,287274
sapply,1285626
render,30593
hugo,16654
aggregation,87167
shapefile,453900
missing-data,2897061
bookdown,65459
forecasting,694292
bind,51464
jaro-winkler,3227
binomial-coefficients,14872
neo4j,25821
cypher,3840
r-neo4j,17658
legend,3412208
display,51876
formattable,27569
armadillo,89692
ggpubr,14251
any,31934
oop,198795
r6,21281
markdown,1544071
xml,1264974
xml-parsing,146472
return,95940
sparse-matrix,359361
matrix-multiplication,130207
numeric,1333920
trend,42602
image,529724
rowsum,107674
criteria,8606
summarization,127388
pdf,1004785
pvclust,15412
rvest,533056
quantregforest,9
rpivottable,16235
levenshtein-distance,53858
stringdist,43249
multivariate-testing,69399
pls,2912
data-manipulation,524465
jquery-ui-contextmenu,44
dbi,1247
indexing,1775968
intellij-idea,9611
pycharm,7424
types,515327
line,474809
replace,2147583
vertices,10144
subgraph,20640
animation,93971
levelplot,173967
cox-regression,175743
c#,269911
wcf,114
connection,48664
timeout,23479
read.csv,1297978
artificial-intelligence,90088
dtw,2622
debugging,497665
sas,480152
as.date,126161
var,35562
rounding,765296
cairo,88719
rhel7,2146
file,1112727
bulk,927
renaming,10725
reshape2,1125872
unicode,613547
input,219484
compiler-errors,43335
evaluation,31417
sqlite,190018
rsqlite,46991
rna-seq,31
rbind,708133
cbind,213354
ncdf4,1821
pandoc,789355
nested-function,3833
python-3.x,40233
css,490369
xaringan,3012
paste,732342
presentation,157271
distance-matrix,5584
spatial-regression,238
selectinput,122
reduce,119832
pivot,23484
azure,41767
azure-storage-blobs,3892
hdinsight,925
viridis,10922
reticulate,18549
coordinates,221518
polygon,312020
geocoding,156867
latitude-longitude,272088
nested-lists,121346
do.call,108813
double-quotes,41903
session,34952
edgar,1271
casting,896751
melt,270663
iteration,178980
altrep,40
complete,7108
character-encoding,271610
methods,62765
average,333577
smoothing,151872
rolling,3209
vba,141240
excel-vba,60942
command-prompt,14167
survival-analysis,434643
grid,68427
gridextra,721879
grob,67137
devtools,581486
roxygen2,304345
progress-bar,76590
format,568646
citations,79315
tiff,88768
xts,1925542
hbase,3926
thrift,1755
installation,1638850
install,1397179
random,1186436
redhat,95172
multiplication,136385
markov-chains,65688
jupyter-notebook,147863
jupyter,92517
floating-point,263141
integer,600583
comparison,214492
layout,294500
triggers,5370
stocks,76265
locale,211659
tensorflow,42749
deep-learning,77191
lag,128625
curve,199780
calculated-columns,215377
moving-average,145995
simulation,349291
packrat,14086
point,284103
text-files,114010
html,1018328
modal-dialog,10827
prophet,360
traminer,36051
rlang,73300
class,474791
write.table,190320
errorbar,144610
eval,266034
expr,870
hive,111835
prestodb,139
precision,272963
projection,48695
pdf-generation,89818
text-classification,45751
graphics,2161835
linear-algebra,144805
virtualenv,122
pipenv,41
periodicity,580
s4,377035
histogram,3661999
density-plot,295909
sampling,220624
ggally,130578
ggpairs,13
repeat,365314
bigdata,431675
logfile,1685
r-highcharter,25370
multithreading,42396
microsoft-r,49623
connect,2466
wavelet,32722
rjava,1267250
jri,109849
qcc,15666
brackets,6443
punctuation,32633
node.js,39615
nested,342829
python-3.6,1275
subtract,13944
3d,741041
rgl,540813
ellipse,58053
svm,682316
quadratic-programming,11319
jupyter-irkernel,37011
quantmod,663753
variables,1338393
expression,265896
bold,1482
validation,66040
differential-equations,23685
null,234250
phyloseq,4801
vignette,30682
min,543508
google-apis-explorer,526
youtube-analytics-api,732
interpolation,273499
gam,131715
mgcv,136969
ape,6071
rjags,4368
google-compute-engine,11817
gsl,16498
topicmodels,39206
console,233377
r-server,1148
gps,37657
montecarlo,117961
circos,13736
ndjson,493
axis,793417
facet,620963
metrics,1592
subtraction,42367
bandpass-filter,27
normal-distribution,524933
skew,45102
plm,238384
ropensci,20896
drake-r-package,362
irr,3500
quantreg,41570
quantile-regression,873
tnsnames,1065
tns,18
roracle,37790
rstan,27491
multilevel-analysis,1858
gganimate,25673
add,197432
listview,21
duration,10168
difftime,19150
formatting,1514717
openxlsx,22159
zoo,1392796
knitr-spin,1548
rda,197703
acs,1459
visualization,1361887
exponential,77547
holtwinters,28706
texreg,28929
rhandsontable,27815
maven,6368
renjin,13184
roc,551399
grep,1265060
feedburner,20
rpostgresql,137144
classification,895893
weather,22670
pivot-table,93789
xml2,32247
model,258634
predict,996229
apriori,214408
mining,32568
partitioning,59521
survival,7504
external,14408
finance,292863
variance,210825
volatility,41852
forecast,2942
gplots,205566
r-package,310402
shinyapps.io,11884
import,1909985
hp-ux,16
databricks,1216
sumifs,21349
hypothesis-test,94866
roman-numerals,4764
gpx,2271
geosphere,28209
pipe,86093
programming-languages,39704
magrittr,416304
spline,175059
spotify,3425
social-networking,152554
interpretation,12618
knn,245665
facet-wrap,330600
dll,89278
cross-reference,19821
line-spacing,26
extract,459191
dictionary,336210
