Tag,Votes
ggplot2,63943
sf,475
datatable,262
shiny,17277
radio-button,26
dt,864
linear-regression,1755
interaction,245
statistics,6083
arrays,1192
keras,207
data-mining,430
cross-validation,436
naivebayes,88
pca,692
performanceanalytics,141
web-scraping,1549
rcurl,1139
apply,3517
purrr,1347
k-means,877
expectation-maximization,15
coefficients,82
linearmodels,5
matrix,9282
vector,6415
combinations,819
frequency,668
transpose,241
summary,393
frequency-distribution,107
for-loop,3060
function,5827
dplyr,21876
summarytools,0
datatables,451
plotly,2468
sjplot,19
nse,319
tidyeval,335
list,8700
readxl,106
libcurl,38
url,270
parameters,616
colors,2004
transparency,216
heatmap,1684
dataframe,37270
slick.js,0
ggrepel,230
ggmap,1425
word-embedding,7
text2vec,58
glove,0
json,1279
jsonlite,253
statistics-bootstrap,258
loops,3355
conditional,622
igraph,2526
sna,177
isomorphism,15
random-forest,1515
foreach,1131
doparallel,326
rcpp,3774
rcppparallel,14
selenium,232
highcharts,264
flexdashboard,329
react-highcharts,0
autocomplete,112
r-leaflet,188
googleway,55
delete-row,63
cluster-analysis,1577
rscript,810
spatial-data-frame,22
package,5231
extension-methods,4
scatter-plot,1137
sequence,652
readr,247
c++,1930
plumber,78
character,925
sample,765
subset,4954
lapply,3486
match,1109
anova,676
robustness,16
tidyverse,2046
tidyr,2320
testing,362
t-test,57
oauth,158
tumblr,1
plot,22714
rstudio,9654
copy-paste,29
mathematical-optimization,408
environment-variables,344
java,1987
apache-spark,918
r-caret,1883
algorithm,926
opencpu,220
nls,388
python,6263
h2o,623
user-defined-functions,159
bayesian,384
pymc3,2
jags,276
join,2159
pandas,1384
rpy2,1161
shinydashboard,1033
grouping,690
mean,696
officer,58
forcats,26
geom-col,14
r-dbi,246
dbplyr,159
data-science,104
group-by,797
na,3875
r-markdown,9441
knitr,12102
kable,186
kableextra,154
probability,376
error-handling,1257
text-mining,1305
lda,220
topic-modeling,225
tidytext,89
mixed-models,779
confidence-interval,557
asp.net,74
asp.net-mvc,4
rdotnet,85
r.net,23
contour,396
math,697
automation,187
regression-testing,5
variable-selection,0
javascript,1547
phantomjs,68
equation,51
linear-equation,13
biomart,68
timeline,46
vis.js,21
htmlwidgets,355
syntax-error,40
gsub,1412
recode,227
duplicates,1054
merge,4467
r-mice,180
outliers,403
mlr,119
gfortran,78
install.packages,547
sorting,3101
data.table,23293
bar-chart,2076
percentage,110
equation-solving,63
regex,8135
spatial,1263
kernel-density,276
adjacency-matrix,140
adjacency-list,32
bioconductor,606
r-graphviz,15
plotrix,122
googlevis,395
macos,1498
xlsx,705
excel-2011,0
crosstab,139
sum,648
reorganize,11
polynomials,136
posixct,1189
rstudio-server,432
workspace,233
scoping,393
string,6957
parsing,1006
memory,1308
raster,1650
ram,76
shiny-reactivity,147
nonlinear-optimization,102
mle,104
garbage-collection,315
graph,2579
networkx,25
sentiment-analysis,154
mysql,798
database,635
data-modeling,31
odbc,309
hadoop,364
fread,359
regression,3472
rxkmeans,0
fill,261
plyr,4808
scatter3d,44
split,2053
rows,1072
charts,438
rattle,84
optimization,1584
functional-programming,752
datetime,2259
intervals,299
lubridate,1472
logistic-regression,614
glm,1388
lm,2275
p-value,215
excel,1736
decision-tree,428
ggnetwork,7
ggtern,50
multiple-columns,484
reshape,2849
popup,61
broom,246
text,1142
nlp,391
logging,286
sink,117
mutate,464
latent-semantic-indexing,1
mclust,12
rselenium,465
survey,266
imputation,139
filter,1885
usmap,3
type-conversion,806
time-series,4821
dna-sequence,57
phylogeny,146
genetics,103
na.rm,71
docker,177
division,47
compare,377
choropleth,241
date,4337
limma,18
order,2977
sparkr,543
sparklyr,541
whitespace,434
stringr,1041
gis,1250
intersection,174
axis-labels,771
margins,161
csv,4111
object,593
time,1713
cosine-similarity,17
linguistics,17
quanteda,142
reactive-programming,265
dataset,748
row,830
networking,140
linux,1375
unix,214
centos,144
operating-system,97
arules,227
market-basket-analysis,32
scale,459
lme4,1207
rendering,42
blogdown,249
tm,1557
strsplit,790
rtools,17
